year,region,post_rural_vitalization,agri_loan_balance,agri_loan_growth_rate,grain_yield_per_ha,per_capita_agri_output,agri_machinery_power_per_1000ha,forest_cover_rate,fertilizer_use_intensity,sanitary_toilet_rate,cultural_spending_share,township_culture_stations_per_10k,avg_education_years_rural,urban_rural_governance_index,village_governance_participation_rate,rural_disposable_income_per_capita,rural_engel_coefficient,cars_per_100_households,industry_score,ecology_score,culture_score,governance_score,affluence_score,rural_vitalization_index
2013,上海,0,255.48,0.0,6.562,3.1,251.2,45.15,0.7,61.31,10.105,2.095,9.286,65.15,54.36,15269.49,31.87,16.74,56.66525243396164,21.111394214645436,79.59398782902659,33.56415088051034,49.26726338500133,39.4571409010122
2014,上海,0,252.37,-0.012173164239862144,6.61,3.021,268.62,47.53,0.676,64.99,10.128,2.068,9.228,65.72,54.81,16255.77,31.1,14.78,57.815267417665595,28.484325766613033,77.96415379195287,34.73642161516442,52.409644018886624,43.22507227181295
2015,上海,0,303.85,0.20398621072235223,6.894,3.088,292.29,47.94,0.667,67.58,10.442,2.106,9.323,70.58,55.45,16526.35,30.85,18.39,64.43912942250888,31.81165623390514,82.65180486241877,41.09764974070901,58.64144674072944,51.99883638319946
2016,上海,0,294.93,-0.02935659042290606,6.973,3.196,297.25,46.38,0.669,74.18,10.825,2.067,9.233,70.41,54.2,17464.03,30.31,16.17,67.48632319453601,35.839959129281986,82.3532136460624,39.47968213602962,60.68510859487491,54.5436797330331
2017,上海,0,304.65,0.032956972841013066,7.3,3.342,289.56,50.39,0.646,72.86,10.702,2.017,9.36,71.23,58.33,18091.0,29.99,20.63,72.47090468092253,40.44337688094261,82.60690296235994,45.124892375446066,69.50043266920306,62.61120360889485
2018,上海,1,311.42,0.022222222222222365,7.234,3.402,305.8,45.37,0.659,73.98,10.461,2.027,9.424,72.49,56.62,18082.74,29.49,19.85,74.39970884011167,35.33674491229916,82.54822504210344,44.64169245958111,69.75617097991773,61.67193834692557
2019,上海,1,340.44,0.0931860509922291,7.452,3.516,318.5,51.03,0.645,76.34,10.878,2.228,9.318,72.8,63.36,18743.86,27.93,20.02,79.86863656337445,44.21755431820185,88.46727668901389,52.66255498271997,76.41541274842687,72.69974997616265
2020,上海,1,349.42,0.02637762895076956,7.443,3.626,339.11,53.66,0.629,81.72,10.961,2.338,9.444,74.08,64.54,19214.34,27.84,20.16,83.64968835254277,52.7666300218399,94.1805984475718,55.487667147322085,78.5718262017189,79.83562448845547
2021,上海,1,360.54,0.031824165760403034,7.693,3.724,355.36,52.35,0.61,80.73,10.44,2.311,9.563,76.35,64.53,20054.18,27.05,19.72,89.59572238396066,51.90312663136785,92.4224712076777,58.10769033333336,83.15259759045239,83.7771930744823
2022,上海,1,382.57,0.06110279025905574,7.978,3.906,334.04,54.3,0.609,82.77,10.927,2.244,9.587,79.06,62.78,20600.73,26.13,22.73,93.23457841479417,55.7646363775298,94.1247815169198,59.25986561261964,91.35960255630528,89.80639956697586
2023,上海,1,386.82,0.011109078077214729,8.012,4.047,373.9,51.35,0.618,86.71,10.98,2.332,9.646,76.7,66.51,21008.5,25.2,22.24,100.0,55.53856879469269,97.84569240307607,60.764121871117574,94.6287817460865,94.80641614717132
2013,云南,0,588.02,0.0,7.413,1.788,229.71,38.14,0.883,74.94,10.352,1.64,7.742,66.02,73.54,13063.95,37.39,12.0,43.41371929873417,12.824960486842294,40.86467493626099,56.37499488083913,20.94216537208406,20.64962815117348
2014,云南,0,605.33,0.029437774225366642,7.108,1.699,208.45,39.25,0.831,75.59,10.949,1.62,7.894,70.15,75.34,13756.37,37.15,11.41,36.478312252042706,18.230062765716653,46.83067598362091,63.208603044285574,23.37906076006125,23.967449198252787
2015,云南,0,634.86,0.04878330827812927,7.585,2.014,241.47,39.32,0.791,80.21,10.616,1.679,7.871,71.59,82.16,14039.21,35.94,13.98,50.009151238261296,25.18656038627607,45.891988079703886,72.63030255877896,30.787878257698758,36.62877100509719
2016,云南,0,654.18,0.030431906247046392,7.588,1.814,243.05,42.48,0.844,85.98,10.996,1.837,7.928,70.96,75.69,14514.76,35.03,12.86,47.12785895542247,29.719286791438034,53.44220724110921,64.54541020679063,33.45728864571125,37.00177201691443
2017,云南,0,681.77,0.04217493656180271,8.065,1.944,236.92,42.11,0.848,83.39,11.084,1.844,7.985,73.77,82.8,14933.86,34.06,14.94,53.65975881709548,26.7883614572833,55.217237831691136,75.88486711538044,40.13659599477853,44.78408791075899
2018,云南,1,710.99,0.04285902870469527,8.074,1.969,245.65,44.47,0.822,86.91,11.402,1.889,8.001,76.06,82.07,15521.48,33.11,15.57,55.067752744040476,34.14283460014817,58.66457404981445,77.70963415812993,45.54852493148902,50.77868515342869
2019,云南,1,748.36,0.0525605142125769,8.121,2.059,253.27,41.62,0.812,92.22,11.6,1.71,8.142,77.23,86.21,15532.74,32.63,15.18,57.772096047595156,36.568338688497896,57.77989822559104,83.77193261102421,46.321294618937564,54.57028522626177
2020,云南,1,781.44,0.044203324603132144,8.602,2.195,288.36,44.4,0.797,95.12,11.974,1.84,8.158,79.04,86.06,16119.26,31.97,14.6,68.80796100609993,43.03069918097624,63.80592558509971,85.69958134793787,49.45051811974636,64.01441572120874
2021,云南,1,824.85,0.05555128992628977,8.323,2.228,284.33,43.19,0.787,95.33,11.933,2.029,8.168,75.95,85.58,16750.59,31.33,12.8,65.86028883334427,42.68053016904623,68.69639003963427,81.57201782122844,51.14486615046323,63.12800668077974
2022,云南,1,881.23,0.06835182154331099,8.659,2.276,317.78,43.86,0.763,98.88,12.061,1.946,8.258,79.9,86.92,17048.21,30.96,15.51,73.7923676507609,48.18103525314669,68.962209531989,87.674077126475,56.64012178626241,71.7423370752767
2023,云南,1,895.39,0.016068449780420435,8.896,2.295,316.11,43.44,0.784,100.0,12.153,1.875,8.286,82.86,87.23,17647.12,29.81,15.36,76.4811631874172,47.23692913307967,68.18262603514394,91.45770146109405,61.613876653764734,75.09457838741604
2013,内蒙古,0,614.04,0.0,5.428,2.36,327.27,43.65,0.586,53.55,7.058,1.706,8.029,71.08,72.08,17496.26,41.84,27.67,41.01410363831061,20.87897923641714,27.427646657506383,60.58094632196966,45.95660435133407,28.309476870713496
2014,内蒙古,0,679.28,0.10624715002279994,5.483,2.519,335.3,47.07,0.598,58.73,7.594,1.73,8.07,70.09,72.74,17990.7,40.76,27.75,44.911795574544016,28.076058071776856,32.13451531452734,60.1835723757471,50.655501281366675,34.60930305739654
2015,内蒙古,0,697.99,0.02754386997997882,5.844,2.604,356.06,46.48,0.586,59.16,7.616,1.67,8.069,71.62,74.39,18941.84,40.29,28.93,52.34056791857304,28.69813967276194,30.6775998280736,63.83274482124184,56.890848935355585,40.52894412962146
2016,内蒙古,0,740.74,0.06124729580653021,5.624,2.621,344.51,45.65,0.577,60.86,7.826,1.799,8.138,75.23,75.25,19498.91,39.38,29.87,48.99004135328782,29.97144436910184,36.63209191349038,68.99504836641835,62.48096000599232,44.42372252140098
2017,内蒙古,0,750.06,0.012582012582012414,5.424,2.827,350.99,47.65,0.559,62.65,7.77,1.706,8.144,75.36,77.47,20598.26,38.45,32.16,50.679119687891216,34.87354017690088,33.95343651124891,71.66926868278688,71.85306251546317,49.82132214349303
2018,内蒙古,1,817.44,0.08983281337493021,5.657,2.856,381.29,44.8,0.537,67.2,7.786,1.796,8.245,79.07,77.28,20575.51,38.29,32.87,56.866426385294744,37.48670447747923,38.26762372908424,75.75393388575635,73.07957737880425,55.80245115351396
2019,内蒙古,1,843.04,0.03131728322568006,5.672,2.832,400.35,48.8,0.525,68.41,8.179,1.915,8.335,78.84,78.36,20996.59,36.43,33.34,58.679317299866426,43.51193216498728,45.479934403642694,76.7149775358026,79.9945037589991,62.63272999534331
2020,内蒙古,1,900.0,0.06756500284683997,6.195,2.809,362.6,50.4,0.548,70.23,8.226,1.89,8.386,80.22,79.42,21643.93,35.97,35.58,60.00265154331817,45.1157053744091,46.050569352505626,79.51960328287021,86.42221488664624,66.72213727729472
2021,内蒙古,1,905.38,0.00597777777777786,6.1,3.144,402.52,47.68,0.533,72.32,9.271,1.777,8.372,79.15,80.49,22417.1,35.19,37.07,68.36277106714262,45.212764856378904,49.309782860557014,79.49554933556468,93.18219000227442,72.96709467377904
2022,内蒙古,1,929.35,0.02647507124080506,6.161,3.067,400.21,51.14,0.541,72.23,8.941,2.001,8.457,83.03,83.62,23033.31,33.68,34.7,67.5939406566794,48.12408981763379,54.701829148170035,87.55119771748468,96.3190735553857,78.40777138726065
2023,内蒙古,1,973.87,0.04790444934631721,6.373,3.267,428.01,50.72,0.541,76.36,8.347,1.955,8.471,84.15,84.28,23393.46,33.37,35.92,75.9228380237065,51.30577025296845,50.06637603888468,89.5997417303927,100.0,83.42388656843785
2013,北京,0,655.13,0.0,7.508,1.535,371.06,27.56,0.552,59.32,7.2,1.431,9.449,54.34,53.7,14589.72,40.78,26.95,55.5261829977367,11.795335182740995,47.13275013155621,20.28293150078941,36.94806353579494,20.246281332699525
2014,北京,0,683.52,0.04333491062842487,7.477,1.644,426.84,27.64,0.513,56.85,7.343,1.397,9.396,52.37,57.78,14958.87,39.14,25.95,62.77995893702565,12.487508300641768,46.15524263763713,22.637129735614767,41.2398478403068,25.207492977172667
2015,北京,0,763.79,0.11743621254681647,7.895,1.63,443.84,26.7,0.489,63.41,8.033,1.448,9.543,54.64,57.64,15761.25,39.37,27.09,68.90387440141888,18.965847738423662,54.470240174521415,25.10937899667184,45.0828362085137,33.65481763883807
2016,北京,0,779.62,0.02072559211301539,7.723,1.876,444.63,27.83,0.513,64.44,7.995,1.437,9.501,56.65,61.37,15988.29,38.88,29.71,70.91022856912672,19.323959401403986,53.17546938899995,31.679351597065793,50.50804240984065,38.05189025505157
2017,北京,0,793.99,0.018432056642979866,8.169,1.907,463.8,26.88,0.506,64.38,7.453,1.596,9.603,58.35,60.07,16389.59,38.54,32.85,78.26137949779658,18.79178957133023,55.85792996497777,32.17225714871879,56.858387375966636,43.59545262804172
2018,北京,1,839.76,0.05764556228667872,8.176,2.055,462.58,31.53,0.509,66.8,8.195,1.64,9.688,59.36,63.04,16940.75,37.47,31.97,80.48825146366008,25.47843897932502,63.174639204056895,36.71911782514785,60.5226179891874,50.92979631199031
2019,北京,1,883.92,0.05258645327236344,8.085,2.061,489.0,28.14,0.504,71.59,8.372,1.636,9.682,59.32,59.54,17535.26,35.55,34.28,82.39246629457837,26.538318244569737,64.05755548595997,32.69422096341093,70.5735788682945,54.13604604495359
2020,北京,1,875.91,-0.00906190605484658,8.567,1.889,500.48,27.6,0.495,73.12,7.96,1.501,9.802,62.86,63.12,18097.35,34.73,33.21,86.19203182995282,27.96113327206433,60.158833142864495,40.86726550993342,73.39818126394006,58.64572616334817
2021,北京,1,944.77,0.07861538285896952,8.631,2.11,504.43,30.18,0.478,76.94,8.326,1.656,9.858,61.6,64.91,18207.18,34.03,37.44,90.71027673589342,35.164881574970224,67.52511539621993,41.441403225770195,80.97027269071809,67.04169704640297
2022,北京,1,1008.26,0.0672015411158271,8.921,2.183,544.6,29.04,0.466,77.97,8.653,1.689,9.875,61.63,66.97,19059.76,33.52,34.79,99.24022932055067,35.74628943119595,70.7316114427898,43.81782765977183,82.07458377664251,72.46420399972438
2023,北京,1,984.32,-0.023743875587646013,8.849,2.223,522.68,29.33,0.472,77.8,8.6,1.624,9.916,63.52,68.37,19461.19,32.07,35.25,96.75193362722652,35.469480059480446,69.44849660433637,47.6001324970783,87.85612794480333,74.11485545834523
2013,吉林,0,627.36,0.0,5.345,2.496,234.46,26.61,0.708,81.71,9.019,2.247,8.283,52.0,67.51,17654.38,37.15,7.75,32.37316520910256,19.324615478649164,58.452150419413776,33.268534612222716,33.21508906808947,19.084563950648977
2014,吉林,0,652.27,0.03970606988013259,5.4,2.569,280.78,27.0,0.67,85.48,9.044,2.254,8.344,51.64,70.46,18313.15,35.85,8.04,39.00350612020295,25.724389514630587,59.909742482690056,36.20455296946029,39.35372568128183,26.952845769392162
2015,吉林,0,639.82,-0.019087187820994278,5.462,2.626,268.92,28.8,0.665,88.14,9.052,2.509,8.398,54.0,70.57,18692.16,35.78,8.71,39.29798332905436,30.258325244529555,67.64368434792065,39.06531110961025,41.79258040012759,32.01847692117101
2016,吉林,0,668.01,0.044059266668750485,5.474,2.747,270.17,30.3,0.657,90.16,9.112,2.352,8.46,56.82,70.51,19357.09,34.68,8.37,41.42491084375447,34.136897991525316,65.03160483021084,42.26605972396704,46.64249559314603,36.01626600058694
2017,吉林,0,727.32,0.08878609601652676,5.817,2.775,283.14,32.88,0.622,95.65,9.461,2.373,8.468,55.35,73.38,19915.19,34.49,9.08,46.95458362554831,44.080809683521736,67.89449902656631,43.8244251463347,50.10439580519631,43.62113469431176
2018,吉林,1,773.91,0.064057086289391,5.97,2.93,310.28,31.08,0.656,93.89,10.092,2.535,8.501,58.92,73.23,20560.89,33.42,9.2,53.87970244583548,38.27380408382107,76.66654981682503,47.79227085389754,55.390727761477464,49.535308188564386
2019,吉林,1,810.09,0.04674962204907551,6.127,2.953,303.43,30.98,0.63,99.13,9.661,2.482,8.602,59.53,78.55,21722.91,32.61,8.6,55.212659572572186,44.60319922246741,74.45406317723668,54.54674827480615,61.016666444276844,55.460255494890426
2020,吉林,1,814.38,0.005295707884308998,6.322,3.081,307.09,31.09,0.647,100.0,10.37,2.43,8.611,59.82,76.8,22246.25,31.81,9.92,59.68960110141721,44.269651043431764,77.65213403004714,52.893652719449754,66.68322691289052,59.15598598651768
2021,吉林,1,845.91,0.03871656966035508,6.099,3.235,332.71,31.23,0.637,100.0,10.161,2.651,8.66,61.36,79.85,22489.58,31.64,13.49,62.35611117244687,45.12416938082484,83.0557612071327,58.145828692693854,72.55850665082549,65.28707403333861
2022,吉林,1,910.92,0.07685214739156643,6.523,3.208,303.75,30.75,0.609,100.0,10.007,2.571,8.743,59.83,82.45,23112.54,29.83,12.18,63.47448377383308,46.61999675860604,81.52265712095578,59.327726870702655,77.83403465810032,67.88330947201923
2023,吉林,1,917.72,0.007464980459315873,6.248,3.349,323.55,31.03,0.612,100.0,10.423,2.654,8.756,59.57,81.68,23420.88,29.58,12.49,64.7594124584089,46.694807905723025,86.52041154244563,58.15105781167333,80.01271868770604,69.91920505482405
2013,四川,0,743.65,0.0,5.377,1.138,329.44,45.64,0.831,84.34,6.77,1.56,7.222,48.86,71.74,12055.13,35.74,31.0,21.863650108505787,32.457982791432265,7.007911888082971,34.43697391764323,45.55314893170333,11.145164597580699
2014,四川,0,790.48,0.06297317286357829,5.543,1.12,313.56,43.61,0.821,85.44,6.182,1.425,7.232,49.35,71.16,12386.47,35.23,31.33,21.705739526566973,32.04319577539266,0.0,34.34568425172139,48.507087913707906,10.193755121179933
2015,四川,0,838.32,0.06052019026414324,5.782,1.159,335.55,44.76,0.841,89.2,6.561,1.571,7.376,48.71,73.22,12823.99,33.93,33.8,27.231637422132813,35.094765191563475,8.824612084377522,35.945442793487246,56.59367007856312,18.50781483360389
2016,四川,0,879.15,0.048704551961064935,5.63,1.115,331.61,47.26,0.818,91.35,6.893,1.53,7.255,51.67,73.33,13188.47,33.81,33.51,24.48600738591842,41.18135148870194,7.588608788589646,39.50172262817671,57.886371924202564,20.589682950042484
2017,四川,0,901.27,0.025160666552920485,5.791,1.13,354.87,47.69,0.784,93.34,6.868,1.697,7.264,51.84,75.65,13816.54,33.17,34.93,28.929907916809427,45.780599834500926,11.982467193793081,42.33598330747934,63.66039837402666,27.572309817151332
2018,四川,1,952.67,0.05703063454902524,5.647,1.29,384.74,48.38,0.802,96.9,6.625,1.657,7.446,54.76,76.82,14106.67,31.95,31.42,32.99691199951869,48.32618608177979,12.762999508547294,47.05082087882626,63.395740743774,31.581521730039032
2019,四川,1,984.93,0.03386272266367163,5.888,1.262,374.07,49.29,0.793,98.91,6.891,1.723,7.501,54.71,77.9,14406.33,31.24,37.68,34.05129646186186,51.660266353693494,17.154307877803365,48.22052103723437,74.27849686814896,37.9120954814809
2020,四川,1,1045.89,0.06189272334074514,6.175,1.399,385.62,48.75,0.77,100.0,7.12,1.729,7.504,54.05,80.53,14861.54,30.76,37.62,40.50182102443623,53.6928394004135,18.78735905746441,50.44502734731486,77.12055158773998,43.099594988454605
2021,四川,1,1075.21,0.028033540812131275,6.388,1.398,384.63,52.41,0.767,100.0,6.996,1.585,7.537,56.45,77.06,15523.64,30.13,39.71,42.69398554228871,57.670191590065215,14.843287721446593,49.28268705169469,83.8468963354218,46.05104836841785
2022,四川,1,1104.04,0.02681336669115786,6.384,1.442,417.07,51.99,0.744,100.0,6.956,1.777,7.549,57.27,85.4,15807.72,30.29,40.6,46.766123046722605,58.87246061990624,19.855388168409167,59.71349901462874,85.62480378310737,53.09775677693468
2023,四川,1,1182.95,0.07147385964276665,6.53,1.429,421.73,54.4,0.759,100.0,7.309,1.876,7.633,56.85,86.58,16013.58,28.5,39.32,48.64474216976284,60.28526888598261,26.184515356344658,60.5679663780356,89.33719776526354,57.23671677489346
2013,天津,0,819.63,0.0,4.799,2.181,267.03,28.95,0.843,78.26,9.141,1.985,8.566,47.83,48.35,10969.5,34.36,26.13,25.043810105289978,9.12038138818893,57.521542492841164,6.655055741919619,38.85610692735819,6.094083467334123
2014,天津,0,836.44,0.020509254175664626,4.899,2.504,298.71,28.18,0.808,80.85,8.644,2.052,8.686,45.76,48.71,11301.96,32.94,23.5,34.46291659499168,13.081505169258612,58.39820199683683,4.664725995631583,40.37806963189489,11.135033350686278
2015,天津,0,893.86,0.06864807995791677,5.003,2.631,283.5,27.58,0.831,83.38,8.398,1.998,8.694,45.76,47.52,11636.51,32.27,25.54,35.936828791623256,13.04387966670229,55.60140416370625,3.3120262210505973,45.925747329351175,12.370297586569697
2016,天津,0,940.15,0.0517866332535295,5.078,2.723,294.23,29.87,0.818,85.12,8.964,1.955,8.669,48.04,52.19,12177.13,32.32,28.98,39.305541156433335,17.845216101362542,57.525108712435966,11.263502733656336,52.17855706539258,20.176452013824026
2017,天津,0,1001.88,0.06565973514864654,5.049,2.698,297.29,25.82,0.822,90.06,9.125,2.043,8.779,48.18,52.96,12281.99,31.73,27.82,38.92980365910384,17.71807292345684,62.851316608649185,12.301067453777765,52.60179415946047,21.714505734533358
2018,天津,1,1041.91,0.03995488481654497,5.456,2.928,313.2,28.11,0.817,91.52,9.354,2.08,8.837,52.1,53.48,12915.44,30.76,29.15,48.57796816869404,21.705990753171754,66.30685685497659,17.436238224586067,59.124675379927005,31.305598176099313
2019,天津,1,1049.33,0.007121536409094631,5.433,2.833,314.95,30.19,0.798,96.53,9.374,2.008,8.817,52.41,52.77,13420.19,30.21,28.52,47.050096313302966,29.578829119134966,64.17406056707839,16.98851812534814,61.60538795101246,33.33044295714286
2020,天津,1,1107.14,0.055092296989507794,5.393,2.935,317.69,29.88,0.799,100.0,9.074,2.174,8.91,51.98,55.58,13684.65,29.44,27.97,48.47764709880851,32.22510580316722,68.37638081634623,19.68425113493873,63.85687378118746,37.296841240284856
2021,天津,1,1178.31,0.06428274653611998,5.471,3.021,322.26,28.68,0.781,99.72,9.559,2.184,8.994,51.83,53.7,13939.89,29.12,33.37,51.133713176091966,32.02491115496003,73.18800973913923,17.37333241196583,72.4851626685104,41.42668141843286
2022,天津,1,1182.61,0.0036492943283177315,5.675,3.114,357.64,34.14,0.789,100.0,9.567,2.468,9.012,54.77,55.46,14556.94,28.58,29.69,58.53051912533841,37.316911690683895,81.02297294235879,22.78202031458967,71.48191792586745,49.28360642562819
2023,天津,1,1262.93,0.0679175721497367,5.74,3.149,357.1,33.76,0.768,100.0,9.516,2.361,9.013,53.46,58.38,14915.61,27.47,33.57,59.71820875406779,38.418212866980376,77.9161214633318,24.58269431381693,80.58170826036637,52.81522953764274
2013,宁夏,0,462.38,0.0,4.424,1.989,408.31,50.66,0.355,61.68,10.798,1.704,8.547,48.46,56.7,10741.92,40.23,13.89,32.98599194910719,51.615374864572495,60.07526851336671,16.87698639324598,7.457186821460474,16.59155003707207
2014,宁夏,0,479.36,0.036723041654050714,4.828,2.107,448.6,52.02,0.328,62.85,11.243,1.818,8.541,47.06,58.58,11172.55,39.55,15.08,43.45961875404233,55.95624777512901,65.7182225870901,17.391140738658507,12.307366048518716,25.148004452221883
2015,宁夏,0,520.57,0.08596879172229643,4.755,2.201,430.51,52.45,0.362,67.88,11.562,1.723,8.551,51.09,60.83,11277.27,37.81,16.71,42.19828274816324,58.38378959577945,65.3866154136036,24.620353744523232,19.213975389177122,29.813467615437148
2016,宁夏,0,519.07,-0.002881456864590737,5.03,2.404,462.72,51.33,0.342,68.71,11.233,1.653,8.583,45.76,62.58,11742.2,37.45,16.27,51.72470240990841,59.37919855492984,62.09510944690647,20.43106706574781,21.302643958636,32.45174059390068
2017,宁夏,0,535.09,0.030862889398346915,5.06,2.186,469.39,50.86,0.35,70.66,11.626,1.892,8.698,52.6,60.81,12322.18,36.6,16.23,49.398614266719655,60.0335890089411,72.91601718347783,26.34801555912135,25.57925736019408,37.53444114721708
2018,宁夏,1,579.33,0.08267768039021473,5.178,2.302,478.21,52.78,0.322,72.89,12.021,1.867,8.698,49.59,64.99,12664.97,35.99,17.24,53.40151769627683,65.94892818083784,74.71000042745904,27.610315106709706,29.6953791733797,43.11947687668306
2019,宁夏,1,598.72,0.03346969775430231,5.385,2.517,504.11,55.04,0.338,75.18,11.737,1.967,8.801,53.21,64.88,12991.69,35.22,20.33,61.70588489540243,69.14010029207259,77.4624248511064,31.681589855470083,36.80376071479316,51.60823491191174
2020,宁夏,1,615.21,0.027542089791555258,5.255,2.682,515.76,55.09,0.338,79.07,12.167,2.006,8.852,51.66,65.64,13539.02,34.5,18.05,64.07113502428295,72.59516718830395,82.0889216525602,30.74873457764211,37.78038459079495,54.75018228288461
2021,宁夏,1,670.53,0.08992051494611575,5.438,2.528,552.69,54.3,0.333,78.16,12.091,1.852,8.861,53.4,64.72,13796.7,33.79,20.43,67.59880378342739,71.34171891733668,77.73992804786884,31.719962792130595,43.57663715046714,56.859067335244504
2022,宁夏,1,705.73,0.05249578691482859,5.318,2.713,542.07,56.27,0.342,82.64,12.648,1.938,8.97,54.59,70.3,13861.37,32.73,22.48,68.02079018060174,76.64819838264317,85.45174929167555,39.4423257010025,49.130554486531395,64.73955554669357
2023,宁夏,1,713.79,0.01142079832230447,5.641,2.83,572.74,54.84,0.32,83.6,12.528,1.916,9.055,54.9,69.25,14462.23,32.57,22.0,76.58018094557069,77.5806353163012,85.68877697622952,38.60811995188429,51.162530381034145,68.85712473503224
2013,安徽,0,453.4,0.0,5.703,1.612,112.02,40.97,0.437,71.47,10.979,1.722,7.669,47.88,60.93,13427.45,34.37,16.01,9.665530543832226,44.389134085986306,45.56778258973543,21.0129849287017,35.105598292684036,11.693404495683803
2014,安徽,0,448.83,-0.010079400088222279,5.846,1.63,148.04,38.1,0.441,76.28,11.621,1.711,7.728,49.03,62.17,13933.26,34.71,17.21,15.312411657339606,45.36183653241186,50.34353619748071,23.75560407613246,37.6415535683853,17.040645209035315
2015,安徽,0,491.12,0.09422275694583693,5.958,1.594,136.4,40.32,0.434,78.25,11.845,1.85,7.686,48.14,60.56,14545.06,33.6,16.82,14.74023594501549,49.86610421786348,54.61160814811862,20.89379033813243,42.2560263316231,19.808256865901004
2016,安徽,0,515.44,0.049519465711028054,5.942,1.821,149.24,40.76,0.401,78.36,12.061,1.769,7.763,50.51,65.35,14908.45,32.61,17.48,19.424458738938373,52.75963542705181,55.23738430931291,29.086001804876837,46.974936362376674,26.81350462335765
2017,安徽,0,495.42,-0.038840602203942365,6.017,1.725,155.28,42.89,0.42,82.37,11.98,1.599,7.763,50.11,62.83,15269.05,31.9,17.58,19.39975207110948,57.1088997777271,50.27230028193795,25.75777997607116,50.25639570757827,26.98691813817948
